source,target,weight
1,0,66149
9,0,71487
13,0,23908
23,0,138078
24,0,146312
0,1,120324
8,1,408321
12,1,800313
14,1,562147
23,1,218507
24,1,699784
5,2,402426
17,2,108435
24,2,97128
4,3,299181
7,3,428572
17,3,622684
7,4,1994114
17,4,3630339
20,4,666158
2,5,498139
6,5,525336
10,5,22793
14,5,618541
15,5,499998
10,6,22375
11,6,3025458
15,6,597620
17,6,1345166
3,7,423672
4,7,1963211
17,7,3720848
18,7,699751
20,7,1762585
22,7,927212
12,8,727240
17,8,1993749
21,8,699519
0,9,73416
7,9,672196
17,9,1869135
19,9,170920
20,9,1119340
22,9,413857
23,9,166780
25,9,236031
5,10,18378
6,10,14412
11,10,51329
14,10,60540
6,11,4299903
8,11,652449
10,11,41463
12,11,1167841
14,11,2781998
17,11,4779059
21,11,1271460
1,12,768398
8,12,1012860
10,12,29281
11,12,1294923
13,12,25792
0,13,20819
8,13,21134
9,13,24415
12,13,24099
23,13,47977
1,14,500750
2,14,85965
5,14,841689
6,14,984505
10,14,80114
11,14,3330667
15,14,342352
5,15,331958
6,15,772570
8,16,275029
17,16,933612
18,16,370272
21,16,269749
3,17,657476
4,17,3800112
6,17,1079789
7,17,4784463
8,17,2025234
9,17,1780143
11,17,2987257
16,17,557236
18,17,1455812
20,17,1001315
21,17,1524990
22,17,1117967
4,18,301010
7,18,740642
16,18,207663
17,18,1233237
20,18,544621
9,19,195756
25,19,56815
4,20,653182
7,20,1799023
9,20,1121270
17,20,756893
18,20,562629
22,20,459085
23,20,125828
8,21,951619
11,21,1261571
16,21,322731
17,21,2391614
18,21,312984
7,22,995276
17,22,887859
20,22,470379
0,23,170152
1,23,142231
9,23,177747
13,23,52370
20,23,123757
24,23,138902
0,24,160567
1,24,424907
2,24,93550
23,24,165142
25,24,145669
9,25,296731
19,25,65181
23,25,115073
24,25,157661
